datetimeutc,Quebec_original,Quebec_filtered
2023-01-04 06:30:00,6296.782057799296,13488.474477227619
2023-01-04 06:45:00,441.47190480117393,13514.810833798801
2023-01-04 07:00:00,-4988.804258241291,13541.265537690491
2023-01-04 07:15:00,-9942.734981226544,13567.843430156458
2023-01-04 07:30:00,-14482.69665220485,13594.548103635518
2023-01-04 07:45:00,-18540.97378682671,13621.381092519829
2023-01-04 08:00:00,-21953.3311801386,13648.340648264122
2023-01-04 08:15:00,-24715.96308371425,13675.421225355445
2023-01-04 08:30:00,-26960.952685936387,13702.613741983738
2023-01-04 08:45:00,-28749.49945100276,13729.905960683622
2023-01-04 09:00:00,-29889.374709908192,13757.282837070763
2023-01-04 09:15:00,-30116.70799072185,13784.727308120015
2023-01-04 09:30:00,-29279.316589728314,13812.222059721771
2023-01-04 09:45:00,-27328.817009781927,13839.752008935495
2023-01-04 10:00:00,-24253.635536719143,13867.30671055786
2023-01-04 10:15:00,-20023.70512689541,13894.881981741224
2023-01-04 10:30:00,-14577.998740412311,13922.480468934466
2023-01-04 10:45:00,-7883.192493162343,13950.11129390939
2023-01-04 11:00:00,-62.42981397511872,13977.789029269692
2023-01-04 11:15:00,8367.625731203836,14005.531803373176
2023-01-04 11:30:00,16526.811940242478,14033.3584915898
2023-01-04 11:45:00,23742.87796128386,14061.283846187223
2023-01-04 12:00:00,30616.622858569302,14089.321930988794
2023-01-04 12:15:00,34084.54368851581,14117.483315972207
2023-01-04 12:30:00,37304.762795987976,14145.775423756326
2023-01-04 12:45:00,39386.43294542031,14174.20322920553
2023-01-04 13:00:00,40688.16947154501,14202.768904775216
2023-01-04 13:15:00,41437.17935764106,14231.474753198663
2023-01-04 13:30:00,41768.887157304816,14260.322498794849
2023-01-04 13:45:00,41791.92445599321,14289.313453610535
2023-01-04 14:00:00,41629.581461153335,14318.448779488213
2023-01-04 14:15:00,41358.179444504654,14347.72968708887
2023-01-04 14:30:00,41021.14487496053,14377.15756000435
2023-01-04 14:45:00,40650.071801946135,14406.73410702557
2023-01-04 15:00:00,40229.493725521104,14436.4616142703
2023-01-04 15:15:00,39747.697540842295,14466.343397535351
2023-01-04 15:30:00,39194.09672510594,14496.384649573161
2023-01-04 15:45:00,38571.70730402948,14526.593842210024
2023-01-04 16:00:00,37890.37463830999,14556.984180849506
2023-01-04 16:15:00,37118.39433896755,14587.573807230825
2023-01-04 16:30:00,36198.22378103738,14618.383993442612
2023-01-04 16:45:00,35002.87658513652,14649.436494475613
2023-01-04 17:00:00,33287.17830956069,14680.751634758646
2023-01-04 17:15:00,30583.483570464105,14712.34774466746
2023-01-04 17:30:00,26258.452851595703,14744.241043158245
2023-01-04 17:45:00,20118.47319447384,14776.452770935613
2023-01-05 06:00:00,33118.60401482535,14808.991772097443
2023-01-05 06:15:00,30452.24076463455,14841.851513958134
2023-01-05 06:30:00,25609.269371902727,14875.011802713847
2023-01-05 06:45:00,19374.18620681676,14908.442577964437
2023-01-05 07:00:00,12712.617832422577,14942.134138289368
2023-01-05 07:15:00,6422.276320780713,14976.074203090338
2023-01-05 07:30:00,646.4640767126465,15010.248517251955
2023-01-05 07:45:00,-4729.934257519863,15044.64228285331
2023-01-05 08:00:00,-9708.49432244097,15079.239474481414
2023-01-05 08:15:00,-14206.78517535612,15114.022138225133
2023-01-05 08:30:00,-18282.426349307207,15148.969994145971
2023-01-05 08:45:00,-22013.475846349706,15184.060155782616
2023-01-05 09:00:00,-25243.28834516281,15219.267114118102
2023-01-05 09:15:00,-27795.461749075617,15254.562825926758
2023-01-05 09:30:00,-29501.27900081348,15289.916367795562
2023-01-05 09:45:00,-30234.324615414745,15325.293743737793
2023-01-05 10:00:00,-29968.98455509334,15360.658404476262
2023-01-05 10:15:00,-28709.57428295848,15395.972732645423
2023-01-05 10:30:00,-26406.67572828381,15431.200271871025
2023-01-05 10:45:00,-22944.25490566005,15466.308094612898
2023-01-05 11:00:00,-18174.803176647485,15501.268703659684
2023-01-05 11:15:00,-12006.692907588334,15536.060829608236
2023-01-05 11:30:00,-4524.150121569791,15570.66915601265
2023-01-05 11:45:00,3899.125414476053,15605.081357479
2023-01-05 12:00:00,14041.080728879417,15639.290634612216
2023-01-05 12:15:00,20183.603330720423,15673.29250934803
2023-01-05 12:30:00,26735.32811286913,15707.08410224847
2023-01-05 12:45:00,31761.6837277308,15740.663956169075
2023-01-05 13:00:00,35452.17230739353,15774.032719645862
2023-01-05 13:15:00,38049.89402418294,15807.191819551499
2023-01-05 13:30:00,39791.07538711756,15840.143616874737
2023-01-05 13:45:00,40883.87928531254,15872.891105313141
2023-01-05 14:00:00,41490.44464017759,15905.437593875426
2023-01-05 14:15:00,41722.3625042015,15937.786362477262
2023-01-05 14:30:00,41684.69986476353,15969.94044510775
2023-01-05 14:45:00,41491.65185708978,16001.902525484009
2023-01-05 15:00:00,41191.996137222624,16033.674953559324
2023-01-05 15:15:00,40829.61887943955,16065.259802665525
2023-01-05 15:30:00,40426.500957745295,16096.658967627469
2023-01-05 15:45:00,39983.31137336068,16127.874318017723
2023-01-05 16:00:00,39501.07434829538,16158.907900743265
2023-01-05 16:15:00,38972.16654593247,16189.762156102044
2023-01-05 16:30:00,38391.59353540009,16220.440323865143
2023-01-05 16:45:00,37739.83850115905,16250.94711013559
2023-01-05 17:00:00,36969.45294380473,16281.289223754202
2023-01-05 17:15:00,35974.15845639818,16311.475041112266
2023-01-05 17:30:00,34539.01570805502,16341.51308428101
2023-01-05 17:45:00,32269.15883374756,16371.421127393762
2023-01-06 06:00:00,39488.11283279159,16401.217768621573
