Date,Heure,Debit
4/1/2023,17,13252.522
5/1/2023,17,13062.431
6/1/2023,17,14138.899
7/1/2023,17,14405.605
8/1/2023,17,15160.11
9/1/2023,17,12706.064
10/1/2023,17,12551.445
11/1/2023,17,13191.781
12/1/2023,17,11723.092
13/01/2023,17,11453.123
14/01/2023,17,13457.987
15/01/2023,17,13180.756
16/01/2023,17,12577.605
17/01/2023,17,13591.413
18/01/2023,17,12439.787
19/01/2023,17,11378.157
20/01/2023,17,11001.338
21/01/2023,17,13085.584
22/01/2023,17,11999.495
23/01/2023,17,11147.363
24/01/2023,17,12684.396
25/01/2023,17,11025.75
26/01/2023,17,11805.792
27/01/2023,17,14313.79
28/01/2023,17,12619.8
29/01/2023,17,12472.221
30/01/2023,17,12980.561
31/01/2023,17,12806.428
1/2/2023,17,12656.122
2/2/2023,17,11889.622
3/2/2023,17,12777.732
4/2/2023,17,13505.962
5/2/2023,17,9635.771
6/2/2023,17,10808.841
7/2/2023,17,11331.094
8/2/2023,17,12419.036
9/2/2023,17,10896.151
10/2/2023,17,11482.433
11/2/2023,17,14454.683
12/2/2023,17,12805.146
13/02/2023,17,11939.973
14/02/2023,17,14428.998
15/02/2023,17,13943.03
16/02/2023,17,13005.085
17/02/2023,17,12416.206
18/02/2023,17,14033.288
19/02/2023,17,12685.728
20/02/2023,17,12363.748
21/02/2023,17,12905.976
22/02/2023,17,13440.962
23/02/2023,17,13041.642
24/02/2023,17,13842.125
25/02/2023,17,13992.492
26/02/2023,17,12647.401
27/02/2023,17,12361.108
28/02/2023,17,12406.007
1/3/2023,17,12529.302
2/3/2023,17,11978.4
3/3/2023,17,12157.382
4/3/2023,17,11689.13667
5/3/2023,17,11220.89133
6/3/2023,17,10752.646
7/3/2023,17,11632.515
8/3/2023,17,11921.646
9/3/2023,17,12038.893
10/3/2023,17,11886.991
11/3/2023,17,11566.07
12/3/2023,17,12012.369
13/03/2023,17,12199.819
14/03/2023,17,11520.788
15/03/2023,17,10993.357
16/03/2023,17,13261.779
17/03/2023,17,12281.028
18/03/2023,17,11673.567
19/03/2023,17,12021.23
20/03/2023,17,12411.805
21/03/2023,17,11044.036
22/03/2023,17,10921.407
23/03/2023,17,11043.124
24/03/2023,17,11273.71
25/03/2023,17,13086.078
26/03/2023,17,13075.479
27/03/2023,17,14238.122
28/03/2023,17,14748.394
29/03/2023,17,14678.392
30/03/2023,17,14358.174
31/03/2023,17,14227.012
1/4/2023,17,13336.68515
2/4/2023,17,14799.95739
3/4/2023,17,13860.32092
4/4/2023,17,13507.64956
5/4/2023,17,13563.40225
6/4/2023,17,14751.714
7/4/2023,17,16149.4276
8/4/2023,17,16043.50003
9/4/2023,17,16807.10263
10/4/2023,17,17025.26116
11/4/2023,17,16930.4191
12/4/2023,17,17386.85684
13/04/2023,17,18176.83869
14/04/2023,17,18363.64254
15/04/2023,17,18033.19553
16/04/2023,17,18614.57861
17/04/2023,17,19169.34218
18/04/2023,17,21401.49693
19/04/2023,17,22239.40523
20/04/2023,17,21533.47772
21/04/2023,17,20968.87167
22/04/2023,17,21078.26803
23/04/2023,17,21533.0158
24/04/2023,17,22443.19172
25/04/2023,17,23644.28676
26/04/2023,17,23764.39705
27/04/2023,17,23400.23219
28/04/2023,17,22526.34866
29/04/2023,17,21392.14413
30/04/2023,17,19937.07377
1/5/2023,17,20241.47936
2/5/2023,17,21724.20758
3/5/2023,17,22392.93588
4/5/2023,17,23302.01499
5/5/2023,17,23369.42047
6/5/2023,17,22313.18068
7/5/2023,17,21606.07122
8/5/2023,17,21364.54108
9/5/2023,17,21693.90917
10/5/2023,17,21019.08995
11/5/2023,17,20862.92282
12/5/2023,17,20505.1576
13/05/2023,17,19908.88486
14/05/2023,17,19391.29786
15/05/2023,17,18581.38807
16/05/2023,17,17397.76485
17/05/2023,17,17522.85323
18/05/2023,17,17708.83025
19/05/2023,17,16954.45665
20/05/2023,17,16273.76944
21/05/2023,17,16075.65986
22/05/2023,17,16066.38566
23/05/2023,17,16211.54041
24/05/2023,17,15401.79581
25/05/2023,17,15717.87785
26/05/2023,17,16440.55585
27/05/2023,17,16115.62348
28/05/2023,17,15160.80777
29/05/2023,17,14394.16075
30/05/2023,17,14528.38058
31/05/2023,17,13886.30634
1/6/2023,17,12838.48437
2/6/2023,17,11456.19322
3/6/2023,17,12359.36057
4/6/2023,17,13206.71074
5/6/2023,17,12893.22984
6/6/2023,17,12319.42593
7/6/2023,17,12356.85651
8/6/2023,17,12721.05574
9/6/2023,17,13289.74373
10/6/2023,17,13471.74078
11/6/2023,17,13043.66523
12/6/2023,17,12160.12539
13/06/2023,17,11631.87253
14/06/2023,17,11283.42158
15/06/2023,17,10965.0499
16/06/2023,17,11420.38475
17/06/2023,17,10835.95341
18/06/2023,17,11925.45259
19/06/2023,17,13186.42853
20/06/2023,17,12913.24529
21/06/2023,17,12817.87378
22/06/2023,17,12509.41534
23/06/2023,17,12238.80873
24/06/2023,17,11959.2048
25/06/2023,17,11714.91782
26/06/2023,17,11637.65786
27/06/2023,17,11845.47381
28/06/2023,17,12180.06008
29/06/2023,17,12091.94214
30/06/2023,17,12213.93595
1/7/2023,17,12169.31548
2/7/2023,17,12265.48073
3/7/2023,17,12542.70319
4/7/2023,17,13019.46304
5/7/2023,17,13102.77338
6/7/2023,17,13178.39264
7/7/2023,17,13117.43008
8/7/2023,17,13199.56603
9/7/2023,17,13160.15879
10/7/2023,17,13144.71119
11/7/2023,17,14758.45791
12/7/2023,17,16042.4092
13/07/2023,17,14975.37351
14/07/2023,17,15077.52446
15/07/2023,17,14300.75956
16/07/2023,17,14092.89885
17/07/2023,17,14860.0349
18/07/2023,17,14362.83102
19/07/2023,17,14218.98612
20/07/2023,17,13932.6136
21/07/2023,17,13411.2364
22/07/2023,17,13737.12948
23/07/2023,17,14439.59664
24/07/2023,17,14410.0825
25/07/2023,17,14028.23591
26/07/2023,17,13771.15834
27/07/2023,17,13278.11652
28/07/2023,17,13003.80229
29/07/2023,17,12531.43192
30/07/2023,17,12523.73032
31/07/2023,17,12555.67586
1/8/2023,17,12639.45861
2/8/2023,17,12659.87986
3/8/2023,17,12280.06106
4/8/2023,17,12408.19729
5/8/2023,17,12923.94372
6/8/2023,17,13303.06968
7/8/2023,17,13023.97709
8/8/2023,17,13292.20579
9/8/2023,17,14033.54191
10/8/2023,17,14218.41131
11/8/2023,17,14031.97324
12/8/2023,17,14349.12366
13/08/2023,17,13950.42745
14/08/2023,17,14101.82015
15/08/2023,17,13869.73167
16/08/2023,17,13785.30295
17/08/2023,17,13534.59659
18/08/2023,17,13478.70543
19/08/2023,17,13957.60024
20/08/2023,17,13998.89364
21/08/2023,17,13551.05262
22/08/2023,17,13665.19611
23/08/2023,17,13778.29612
24/08/2023,17,13578.82274
